Predicted,Actual
6.545928487548478,5.981414211254481
6.971829385978705,7.069874128458572
7.637664065229627,7.719129840906732
7.683981486318158,7.719129840906732
7.6587903764577705,7.67368812926773
8.36256947547059,8.294299608857235
5.801773640914553,5.673323267171493
7.42402841933824,7.444833273892193
7.32833658377548,7.330405211844402
7.425323757871245,7.523481312573497
7.3453193835276025,7.226936018493289
7.871549156041915,7.67368812926773
7.952343597359552,7.824445930877619
7.155946910320211,7.313886831633462
6.999237374532151,7.048386408721883
7.183364105904092,6.933423025730715
6.60502185048381,6.692083742506628
7.736187258421665,8.006700845440367
7.9489738255945435,8.006700845440367
7.506934858390903,7.547501682814967
7.794110364166457,8.006700845440367
7.77945607912343,7.783640596221253
7.207450335411868,7.141245122350491
7.3188471163999615,7.164720378771857
7.800921572650417,7.8636512654486515
7.2589948515365785,7.078341579557671
7.894288295670159,7.762596048540069
6.360233551814478,6.311734809152915
7.189660778807629,7.3752557780097545
7.56443537728508,7.738923757439457
6.983540293417558,6.933423025730715
7.400920025644935,7.40184157874383
6.5636612594855785,6.55250788703459
6.539411888302733,6.486160788944089
8.013362512802049,8.006700845440367
7.938527573308913,8.188966863648876
7.23562633153317,6.846943139585379
6.793738989948626,7.00850518208228
7.7516063484037385,7.804251383528112
7.8905709820216545,8.03947991910045
6.811389094613773,6.733401891837359
6.684626654904038,6.61472560020376
6.651031019866979,6.726233402358747
7.915789633818079,7.955425088912672
7.070611831083517,7.170888478512505
7.403700996730813,7.409136443920128
7.59596603304311,7.409136443920128
6.527405231143483,6.289715570908998
7.641346041681063,7.576097340623111
6.376736733776204,6.546785410760524
6.9203386125985755,7.069874128458572
7.487466948272436,7.493317248862145
7.701336465366019,7.547501682814967
7.131565190433212,6.775366090936392
7.518904555893876,7.406103381237015
6.636093933898541,6.641182169740591
7.560919567701224,7.467942332285852
8.452729539215756,8.507344855361422
6.975523897936253,7.134890851565884
6.980913051527621,7.024649030453636
7.546867005110726,7.467942332285852
7.3823240622956,7.692113339595466
7.2581913687471875,6.990256500493881
7.773686039711381,7.783640596221253
6.690939662556531,6.692083742506628
7.848106219688658,7.8636512654486515
8.151706341402752,8.281723990411392
6.512332254950853,5.673323267171493
7.849830741314709,8.131824785007195
7.49066809843518,7.208600337960199
7.920597876398789,7.9676267393338165
7.065444650970911,7.0909098220799835
7.887798310710801,7.804251383528112
7.178856229281913,7.099201743553092
7.1754811984852624,7.086737934510577
6.996993507677988,6.846943139585379
7.235816696650233,7.208600337960199
7.777968891382575,7.783640596221253
8.78097134126726,8.981052985901483
7.386245602135131,7.919719760924575
7.194036373695787,6.878326468291325
7.508397167966522,7.588829878307813
7.344624107161707,7.155396301896734
7.599060754502991,7.438971592395862
7.832961360745515,7.588829878307813
7.517754982901478,7.576097340623111
7.435368327441133,7.00397413672268
7.77402994084025,7.719129840906732
7.825134052299693,7.732369222284388
7.4701503728649365,7.576097340623111
6.58207119301572,6.68586094706836
7.561994515859285,7.59890045687141
7.500730378524013,7.365812837209472
7.76135910392468,7.67368812926773
6.690939662556531,6.692083742506628
7.824519415410151,7.694392802629421
