city,pop2024
Heeswijk-Dinther,7985
Ouderkerk aan de Amstel,7955
Budel,7895
Hilvarenbeek,7855
Angelslo,7840
Oosteinde,7780
Bedum,7765
Neede,7730
Groenewoud,7710
Udenhout,7650
Bolnes,7650
Heer,7615
Oude Pekela,7580
Tholen,7475
De Greiden,7470
Broekhoven,7420
Rheden,7400
Edam,7380
Emmerhout,7375
Honselersdijk,7366
Stiens,7300
Limmen,7300
Feijenoord,7275
Teteringen,7230
Elsloo,7220
Nederweert,7205
Meerhoven,7175
Randenbroek,7131
Zuidhorn,7075
Reusel,7055
Gorredijk,7040
Roden,7030
Hengstdal,7010
Vaals,6970
Hasselt,6959
Vleuten,6945
Delden,6920
Abcoude,6920
Zundert,6835
Delfshaven,6835
Panningen,6710
Overschie,6710
Peelo,6635
Raamsdonksveer,6590
Kerkdriel,6580
Yerseke,6541
Scharn,6540
Amby,6535
Selwerd,6525
Berghem,6500
Den Burg,6485
Heino,6459
Eelde,6450
Waalre,6445
Heythuysen,6420
Orden,6385
Leersum,6385
Woudhuis,6375
De Doornakkers,6345
Bunnik,6315
De Drait,6310
Gilze,6300
Druten,6270
De Heeg,6255
Kortenhoef,6250
Driemanspolder,6250
Muiden,6223
